rank,address,lit,kind,entity,category,net_24h,net_7d,net_30d
3869,0xd6e58e5f814867aba228570e8d17cf7b77eb3f8b,22.60000000,wallet,,,0.00000000,0.00000000,0.00000000
3870,0xd76ae1b321c8ba3ce641f31f761a5b60a8779cdb,22.60000000,wallet,,,0.00000000,0.00000000,0.00000000
3871,0x8b8d35895954e6cf68ed324f7dff5069de000a19,22.60000000,wallet,,,0.00000000,0.00000000,0.00000000
3872,0x75ea04a12837440dd3ccb23dec3b2f0c908bebbe,22.60000000,wallet,,,0.00000000,0.00000000,0.00000000
3873,0xb92addb207c35af1dff0ec8d08b95a60dc50d83c,22.55000000,contract,,,0.00000000,-2.89932700,22.55000000
3874,0xca6655e2ee7deb46b23a152f07017ef24e508ac0,22.51079006,wallet,,,0.00000000,0.00000000,22.51079006
3875,0xfed64fbcac2b3ccdc6d51da36d32385aa7890691,22.50225023,wallet,,,0.00000000,0.00000000,0.00000000
3876,0xaffaf02127da44d08b83030ca9d7bcd459ff9f01,22.47944164,wallet,,,22.47944164,22.47944164,22.47944164
3877,0x2879a391ab4daa3c3ae8bcccaadeb036e9bffe3b,22.47025566,wallet,,,0.00000000,0.00000000,4.23734232
3878,0x86ec767841de9edb04c9eee9602b77264ae7c1b0,22.43823946,wallet,,,22.43823946,22.43823946,22.43823946
3879,0xf4dd3ab2d2de6f9dae3805d4563d0ecbd66eb9c3,22.41874529,wallet,,,0.00000000,0.00000000,0.00000000
3880,0x037df4a476c1578175a38caca11a5585d233af9c,22.40000000,wallet,,,2.01000000,2.64000000,12.77000000
3881,0x6b3a1471c46f2e31c86c105763768ceec95d6498,22.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3882,0x934fa882ce32b1db33498ca6b59f7d5237bfdc1c,22.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3883,0xa74747385658068d1b8347a906b187331a71de3d,22.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3884,0x87074d9ee176ecfd87e1ea07d78d3585e2e97b21,22.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3885,0x9e61d719e344b5f3d5edf1475f0fcfdd5e899786,22.36000000,wallet,,,0.00000000,0.00000000,22.36000000
3886,0x843f88b53300251d1de92a10895eac6b2e268577,22.35305667,wallet,,,0.00000000,0.00000000,22.35305667
3887,0x3552b36c8a1bdf83f340053a1cd3ae4d0b3ae725,22.33706325,wallet,,,0.00000000,0.00000000,6.99929465
3888,0x54261683051ab6f5bf399405f1b969a7fbfb3fb8,22.32321860,wallet,,,0.00000000,0.00000000,22.32321860
3889,0x6cc86227e797a47e74010cb69d5338797dfcd06e,22.26000517,wallet,,,0.00000000,0.00000000,4.22440744
3890,0xbb4f2bace01e06398dfd3677bb31abaeb8de5a80,22.20000000,wallet,,,0.00000000,0.00000000,0.00000000
3891,0x1f0d70103af143188099eb3e40bed1c9795e33bd,22.20000000,wallet,,,0.00000000,0.00000000,0.00000000
3892,0x07c24692cd32edb9bbbe2566168f2d47c425ac2c,22.20000000,wallet,,,0.00000000,0.00000000,22.20000000
3893,0x25ab01ca2f46f3c9ec35df342717ee15faaff709,22.15280000,wallet,,,0.00000000,22.15280000,22.15280000
3894,0xb649543886ac0dae6b6ed750c22a5b06969a8523,22.14841593,wallet,,,0.00000000,0.00000000,22.14841593
3895,0xc404c0c297f1368fb2c5f667d58e620447225888,22.11448347,wallet,,,0.00000000,22.11448347,22.11448347
3896,0xd5a0f70f131e953bfb46fb1c3cc0e4ab49bdf874,22.08444752,wallet,,,0.00000000,0.00000000,0.00000000
3897,0xd115ed370113be9ac336288d90439daed8b68d77,22.02556177,wallet,,,0.00000000,0.00000000,-21.00000000
3898,0xecb0b3b05318e4bf83401d2c1d1336d9e7ae4e7c,22.00000000,wallet,,,0.00000000,0.00000000,0.00000000
3899,0x30623f78d465e3d1a6c1073c649fb74aee3b0031,22.00000000,wallet,,,0.00000000,0.00000000,0.00000000
3900,0x3d442b6d71910e465c35c1ec32c29992949089b1,22.00000000,wallet,,,0.00000000,0.00000000,0.00000000
3901,0xd89a184ba2930bbadf8fe6700a93d035ee2ebfc0,22.00000000,wallet,,,0.00000000,0.00000000,0.00000000
3902,0x141842f0c4f75a045fdbea1bc0531366fc6a1d31,22.00000000,wallet,,,0.00000000,0.00000000,2.00000000
3903,0x4474dfeb3923e1d5783155448cb493a30a919133,21.99999488,wallet,,,0.00000000,0.00000000,0.00000000
3904,0x60380abd8db8401587a9c055c274004f66eb7f4e,21.98018766,wallet,,,0.00000000,21.98018766,21.98018766
3905,0xbe352aff2da7b6c6822ba8a67404ebc634671de1,21.86237299,wallet,,,0.00000000,0.00000000,21.86237299
3906,0x78cd8c2abd0fca94ed09e28f031b3df25ea99439,21.83327311,wallet,,,0.00000000,21.83327311,21.83327311
3911,0x06b237dee269f33f5d05c1263c650fc492dac635,21.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3912,0x5ad72411c43211cafaef318e9d63f3d0c1eade2e,21.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3913,0x3a1868a9100f0a0633e080eb48cc92f8e47227ea,21.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3907,0x96408e97f6ec77cdae0e032c54c24bb1e861c43a,21.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3908,0xddbeca54e18f3eb92d38e71b081260180c08f64e,21.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3909,0x948ed806ce30a779b563bd6733ae32a62c0f280e,21.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3910,0x2f49cf8e5dce90e002aed18a44b41bbc9651aa18,21.80000000,wallet,,,0.00000000,0.00000000,0.00000000
3914,0x98aa12ad06ae8a3d10a341a853cadd8c8ec81c50,21.79724581,wallet,,,21.79724581,21.79724581,21.79724581
3915,0xbcde2ea86c58a1ec960bbaba8795321e530e9334,21.78809680,wallet,,,0.00000000,12.01577100,21.78809680
3916,0x094ab96c5dcc1931e078dbbec9132efdaa49eaa2,21.77396218,wallet,,,0.00000000,0.00000000,0.00000000
3917,0x2dc1ef0678e9451945ba946fa5b5a141e23c8b12,21.71306883,wallet,,,0.00000000,0.00000000,-10.00000000
3918,0x9f086ddab7aeb40c37f828d41ede2c506608e4ea,21.69733363,wallet,,,21.69733363,21.69733363,21.69733363
3919,0x29cfe64aa264f2a849203d50d970a6c7a13d0296,21.68831052,wallet,,,21.68831052,21.68831052,21.68831052
3920,0x8a5108b07743d5a41042f05170e849dc60fa53df,21.68097923,wallet,,,0.00000000,0.00000000,0.00000000
3921,0x7d84d57f606694179cb9cd84b37cf3cafcc6d988,21.67758781,wallet,,,0.00000000,21.67758781,21.67758781
3922,0x28c3da6dff95f43ffc597910a7787f0af94cb246,21.67047460,wallet,,,0.00000000,0.00000000,0.00000000
3923,0xe97a2706f076701f723fd4599c8cd45777402123,21.64393794,wallet,,,0.00000000,0.00000000,0.00000000
3924,0x40f8163a159ab6a13a46ddacd8be785e9ced1b52,21.62905208,wallet,sushiswap,Decentralized Exchange,21.62905208,21.62905208,21.62905208
3925,0x150d9eee5d2c6bbf05e4f662eb7681ac59b29462,21.62627922,wallet,,,0.00000000,0.00000000,21.62627922
3926,0x2a28ae90692163dde9bd08fceb780c5b45d3ce93,21.61575198,wallet,,,0.00000000,0.00000000,21.61575198
3929,0x4353ca4846cb7926bd9c2da9d8084b388653e9d3,21.60000000,wallet,,,0.00000000,21.60000000,21.60000000
3927,0x9130ad24b93c9dc8c6078376cc12d9486f0976a0,21.60000000,wallet,,,0.00000000,21.60000000,21.60000000
3928,0xdc5c56014ed9f402cb04ac863b89bc5b5766f791,21.60000000,wallet,,,0.00000000,0.00000000,0.00000000
3930,0x9e76cf7ca154997c5aae43a9c2ba58855f700d78,21.52194219,wallet,,,0.00000000,0.00000000,21.52194219
3931,0x542f480b1aa2040de7cb3ca4a3351287819deac0,21.51507090,wallet,,,0.00000000,0.00000000,0.00000000
3932,0x1869c739f755a44d7cb29616ce61fb6f60932264,21.47274593,wallet,,,0.00000000,0.00000000,-79.49012094
3933,0x090b10ca962f1c7cb7de5a2984b64986ba99ede5,21.44792196,wallet,,,0.00000000,0.00000000,0.00000000
3935,0x3714c977cf7b9a4f1230c478d0dce0c17d0ff39b,21.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3936,0x7a6a353329e84f2118484665093a66a88543ca5b,21.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3934,0x83e04d8308daf71dfb86e0a89f650d83e442015a,21.40000000,wallet,,,0.00000000,0.00000000,0.00000000
3937,0x79972022397ab7107fab8c103cf6d9a6844d9bc0,21.36590854,wallet,,,0.00000000,0.00000000,21.36590854
3938,0xfedd19b8d60eb4425df7628fd9c3ddcb3c6cb210,21.35498399,wallet,,,0.00000000,0.00000000,21.35498399
3939,0x104032b88ea3fb5e8ef84a487a1ab956fba7c526,21.33312218,wallet,,,0.00000000,5.42680450,21.33312218
3940,0x1ca04448019127562674b7477b33f83c1ed3c04d,21.32616695,wallet,,,0.00000000,0.00000000,0.00000000
3941,0x8e0785a12656c54b00ca436a6ea4f2b5a9f240b2,21.29669898,wallet,,,0.00000000,0.00000000,21.29669898
3942,0xfd0215a6c2af15aface92f3cca54dd412d66c577,21.27788691,wallet,,,0.00000000,0.74329955,-0.25670045
3943,0xa31f87076b296b17949e6dc32a61cd33541acd09,21.26764732,wallet,,,0.00000000,0.00000000,21.26764732
3944,0xeeb23d2002d0fa6e07dd5fe5fbb1306d4962bf3e,21.26523342,wallet,,,0.00000000,-4.50000000,-4.50000000
3945,0x6391003589986baf5b2330ed622ca6d45138681b,21.25315729,wallet,,,0.00000000,0.00000000,0.00000000
3946,0x241e46b7150c109a33f9309a93202664fc959bda,21.25088385,wallet,,,0.00000000,0.00000000,21.25088385
3947,0x30f375506ac23457ea484a2180fdb8ec5914f486,21.23406485,wallet,,,0.00000000,0.00000000,0.00000000
3948,0x98d3e519fbc367efabc27e0414955a1307d2afd0,21.20000000,wallet,,,0.00000000,0.00000000,0.00000000
3949,0xedd816f3ea4015567ee5f627d268646e5e550a2a,21.20000000,wallet,,,0.00000000,0.00000000,0.00000000
3950,0x75812453d41e4dd7c288a24ebb13a8147c5cd3f5,21.20000000,wallet,,,0.00000000,0.00000000,0.00000000
3951,0x3d8fb048f4a96dd249287d3db1b4ceb89a0fedd1,21.19221714,wallet,,,0.00000000,0.00000000,0.00000000
3952,0xabc3ae4e233a2519abbf229807d14671eca83996,21.17648035,wallet,,,0.00000000,0.00000000,0.00000000
3953,0x172eb8e363b2687cba7bb5a8928b6fd2cc602c50,21.12119213,wallet,,,0.00000000,0.00000000,0.00000000
3954,0x53e1917a34ed55be9432348f7c1c223e8f3bbdce,21.07520678,wallet,,,0.00000000,0.00000000,0.00000000
3955,0x4846d38e0926ed326e3a200adda1bc5699ca4275,20.97428396,wallet,,,0.00000000,0.00000000,20.97428396
3956,0x43c5ec7fd318d9121fc759bcf92cc4b1edb1e527,20.97225128,wallet,,,0.00000000,-6.03526362,2.98071711
3957,0xfe174c879dec8f4546faa2a5c219ec0efbbe52d9,20.96066992,wallet,,,20.96066992,20.96066992,20.96066992
3958,0x47144a05d63a078fb4709df003662bc988052d4d,20.90802125,wallet,,,0.00000000,0.00000000,20.90802125
3959,0x0a4f6ecb214dc1d9acdd99743b4dcc58ccc088b9,20.89023600,wallet,,,0.00000000,0.00000000,0.00000000
3960,0xb0e110a364988264ca3bd520a1c1b36c946f647f,20.87964400,wallet,,,0.00000000,0.00000000,0.00000000
3961,0x1bde9f8b927dc7e638b8f9f90199fda2210181be,20.83326822,wallet,,,0.00000000,0.00000000,20.83326822
3962,0xcabc0a85036daa023d7168e5594bec428e959354,20.80307642,wallet,,,20.80307642,20.80307642,20.80307642
3963,0x3410748fd3ee017fbcacf65304188263a4d993d7,20.80000000,wallet,,,0.00000000,0.00000000,0.00000000
